key	value
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_IBSHOP_SUCCESS	成功購買%d個%s，消耗%d個金幣,%d存款金幣,添加到背包失敗%d個數,是否綁定：%d
STR_PLAYERLOG_COMMENT_BUYIBITEM_SUCCESS_BYMAIL	成功購買%d個%s，消耗%d個金幣,%d存款金幣，通過郵件補償成功。
STR_PLAYERLOG_COMMENT_BUYIBITEM_BINDCOIN_SUCCESS_BYMAIL 成功購買%d個%s，消費%d個綁定金幣，通過郵件補償成功。
STR_PLAYERLOG_COMMENT_BUYIBITEM_BYMAIL_FAIL	購買%d個%s，貨幣類型：%s，單價：%d，通過郵件補償失敗。
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_IBSHOP_FAIL	購買%s失敗,  使用貨幣類型：%s
STR_PLAYERLOG_COMMENT_LEVELUP	升到%d級
STR_PLAYERLOG_COMMENT_SENDMAIL_MONEYANDITEM	寄給%s，金錢%u，附件%s
STR_PLAYERLOG_COMMENT_GETMAIL_MONEY	從%s郵件獲得%d
STR_PLAYERLOG_COMMENT_PLAYERTRADE	與%s（賬號：%s）交易，獲得物品價值量%d千，失去物品價值量%d千，銀兩%d
STR_PLAYERLOG_COMMENT_STALLSELL	開始擺攤販賣
STR_PLAYERLOG_COMMENT_STALLBUY	開始擺攤收購
STR_PLAYERLOG_COMMENT_GETACCOUNTMONEY	從帳號中取出%d銀兩
STR_PLAYERLOG_COMMENT_TRADEDECMONEY	與%s交易擺攤買入,失去銀兩%d, 物品[%s],單價[%d],數量[%d]
STR_PLAYERLOG_COMMENT_TRADEINCMONEY	與%s交易擺攤賣出,獲得銀兩%d, 物品[%s],單價[%d],數量[%d]
STR_PLAYERLOG_COMMENT_GETFRIENDCOINBACK	從密友[%s]處獲得 %d 個返還綁定金幣
STR_PLAYERLOG_COMMENT_AUCTION_SELLITEM	拍賣物品從身上刪除 PlayerName:%s, 起拍價：%d, 一口價：%d，ItemGUID:%s
STR_PLAYERLOG_COMMENT_COMPETEPRICE_SUCCESS	競拍成功，扣錢 %d，物品名稱 %s
STR_PLAYERLOG_COMMENT_RESTORECOINTOBANK	申請將[%d]金幣存入銀行, 申請是否成功:[%d]
STR_PLAYERLOG_COMMENT_TAKEOUTCOIN	申請從銀行重取出[%d]金幣,申請是否成功:[%d]
STR_PLAYERLOG_COMMENT_APPLYEXCHANGECOIN2BIND	申請將[%d]金幣兌換成綁定金幣，申請是否成功[%d]
STR_PLAYERLOG_COMMENT_ONRETINFO	錢莊金幣操作[%s]，結果：[%s], 金幣數：[%d]
STR_PLAYERLOG_COMMENT_ORDER_APPLY	提交訂單:[%s]\t[%s]
STR_PLAYERLOG_COMMENT_ORDER_TIMEOUT	訂單超時，銷毀訂單:[%s]
STR_PLAYERLOG_COMMENT_ORDER_COMPLETE	完成訂單:[%s]
STR_PLAYERLOG_COMMENT_ORDER_PAYERROR	付費處理失敗，銷毀訂單:[%s]，原因:[%s]
STR_PLAYERLOG_COMMENT_ORDER_PAYEOK	付費處理成功，申請發貨:[%s]
STR_PLAYERLOG_COMMENT_ORDER_GM_ITEM	GM贈送物品 定單[%s]: %s [%d 個]
STR_ITEMLOG_COMMENT_IBSHOPBUY	奇珍閣購買%s，數量:%d，消耗%s%d
STR_ITEMLOG_COMMENT_MAILGIVE	給%s發送郵件附件
STR_ITEMLOG_COMMENT_MAILGAIN	從%s收到郵件附件
STR_ITEMLOG_COMMENT_STALLGIVE	[販賣]賣給%s%d個
STR_ITEMLOG_COMMENT_STALLGAIN	[販賣]從%s買入%d個
STR_ITEMLOG_COMMENT_OFFERGIVE	[收購]賣給%s%d個
STR_ITEMLOG_COMMENT_OFFERGAIN	[收購]買入%d個%s
STR_ITEMLOG_COMMENT_TRADEGAIN	交易從%s買入
STR_ITEMLOG_COMMENT_TRADEGIVE		交易賣給%s
STR_ITEMLOG_COMMENT_PICKUP_AUTODISTRIBUTE	組隊自動分配
STR_CURRENCYTYPE_COIN	金幣
STR_CURRENCYTYPE_BINDCOIN	綁定金幣
STR_CURRENCYTYPE_TAEL	劍俠幣
STR_CURRENCYTYPE_UNKNOWN	未知貨幣
STR_PLAYER_FORBIT_MULITCLINET	客戶端多開
STR_PLAYER_FORBIT_VERIFY	非法客戶端
