ID	Question	Answer1	Answer2	Answer3	Result
54	Người sáng lập Võ Đang trong bối cảnh Kiếm Thế là ai?	Trương Tam Phong	Hoàng Dược Sư	Lệnh Hồ Xung	1
55	Bối cảnh Kiếm Thế chịu ảnh hưởng từ yếu tố nào?	Chiến đấu chính trị	Tôn giáo và tín ngưỡng	Kinh tế phong kiến	2
56	Trong bối cảnh Kiếm Thế, môn phái nào nổi tiếng với kỹ năng gây độc?	Ngũ Độc	Võ Đang	Côn Lôn	1
57	Côn Lôn trong bối cảnh Kiếm Thế thường trú ẩn ở đâu?	Thiên Sơn	Ngọc Long Tuyết Sơn	Hoàng Hà	2
58	Môn phái nào trong Kiếm Thế có phong cách chiến đấu mạnh mẽ và trực diện?	Thiên Vương	Cái Bang	Minh Giáo	1
59	Bối cảnh Kiếm Thế thường xoay quanh cuộc tranh đấu giữa điều gì?	Chính và Tà	Thế lực kinh tế	Thế lực hoàng gia	1
60	Trong bối cảnh Kiếm Thế, ai là người sáng lập Ngũ Độc Môn?	Lý Mạc Sầu	Linh Thứu Cô Cô	Ngũ Độc Giáo Chủ	3
61	Môn phái nào trong Kiếm Thế có nguồn gốc từ Trung Nguyên?	Thiếu Lâm	Minh Giáo	Đường Môn	1
62	Bối cảnh của các hoạt động trong Kiếm Thế diễn ra ở đâu?	Thành thị	Núi rừng	Khắp nơi	3
63	Trong bối cảnh Kiếm Thế, môn phái nào đại diện cho lối sống giang hồ tự do?	Cái Bang	Ngũ Độc	Minh Giáo	1
64	Bối cảnh Kiếm Thế thường xuyên nhắc đến điều gì?	Gia tộc chiến	Tranh đoạt bí kíp	Thương mại	2
65	Du Long Giác là vật phẩm thuộc loại nào?	Trang bị	Nguyên liệu	Vật phẩm sự kiện	2
66	Du Long Giác được sử dụng để làm gì?	Tăng kinh nghiệm	Tăng kỹ năng chế tạo	Nâng cấp trang bị	3
67	Nguyên liệu nào cần thiết để chế tạo Du Long Giác?	Huyền Tinh	Ngọc Thạch	Không chế tạo	3
68	Du Long Giác thường rơi ở bản đồ nào?	Địa Cung	Hoạt động Du Long Giác	Thiên Quân Phủ	2
69	Trong bối cảnh, Du Long Giác được mô tả như thế nào?	Vật phẩm thần bí	Vật phẩm chế tạo thông thường	Vật phẩm trang trí	1
70	Cách nhanh nhất để thu thập Du Long Giác?	Các hoạt động thuộc Du Long Giác	Dã Tẩu	Vận Tiêu	1
71	Du Long Giác có thể giao dịch hay không?	Có	Không	Chỉ khi không khóa	3
72	Hoạt động nào có tỷ lệ rơi Du Long Giác cao nhất?	Tống Kim	Vận Tiêu	Tất cả	3
73	Du Long Giác có thể đổi lấy gì trong game?	Trang bị, Kỹ Năng	Ngọc Tinh Luyện	Kinh nghiệm	1
74	Người chơi cần đạt cấp độ nào để sử dụng Du Long Giác?	50	60	Trên 100	3
75	Ngũ hành nào được cho là liên quan đến Du Long Giác?	Kim	Hỏa	Vô	3
76	Tần Lăng là bản đồ thuộc cấp độ nào?	80	90	120	3
77	Hoạt động chính trong Tần Lăng là gì?	Săn Boss	Tìm bảo vật	Thu thập nguyên liệu	1
78	Tần Lăng nổi tiếng với loại quái nào?	Xác Ướp	Bóng Ma	Chiến Binh Tần Vương	3
79	Boss chính trong Tần Lăng được gọi là gì?	Ngũ Hành Hộ Vệ	Cô Ảnh Tần Vương	Tần Lăng Thủ Vệ	2
