key	value
STR_ITEMLOG_TYPE_REMOVEITEM	失去物品
STR_PLAYERLOG_TYPE_ORDER_APPLY	提交订单
STR_PLAYERLOG_TYPE_ORDER_DEL	删除订单
STR_PLAYERLOG_TYPE_ORDER_PAY	订单付费
STR_PLAYERLOG_TYPE_ORDER_COMPLETE	完成订单
STR_TONGLOG_TONGSTRUCTURE	帮会结构
STR_TONGLOG_TONGBUILDFUND	帮会建设资金
STR_TONGLOG_TONGFUND	帮会资金
STR_KINLOG_KINSTRUCTURE	家族结构
KD_STR_TONGFUND_PAY	%s分发帮会资金%d 给%s（职位名）
STR_TONG_DIRECTOR	长老
STR_TONG_ENVOY	掌令使
STR_TONG_EXCELLENT	精英
STR_TONG_NORMAL	帮众
STR_TONG_SIGNED	记名成员
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_APPLY	申请购买%s，数量：%d，单价：%d个金币，%d个存款金币
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_IBSHOP_SUCCESS	成功购买%d个%s，消耗%d个金币,%d存款金币,添加到背包失败%d个数,是否绑定：%d
STR_PLAYERLOG_COMMENT_BUYIBITEM_SUCCESS_BYMAIL	成功购买%d个%s，消耗%d个金币,%d存款金币，通过邮件补偿成功。
STR_PLAYERLOG_COMMENT_BUYIBITEM_BINDCOIN_SUCCESS_BYMAIL 成功购买%d个%s，消费%d个绑定金币，通过邮件补偿成功。
STR_PLAYERLOG_COMMENT_BUYIBITEM_BYMAIL_FAIL	购买%d个%s，货币类型：%s，单价：%d，通过邮件补偿失败。
STR_PLAYERLOG_COMMENT_USEGOLDCOIN_IBSHOP_FAIL	购买%s失败,  使用货币类型：%s
STR_PLAYERLOG_COMMENT_LEVELUP	升到%d级
STR_PLAYERLOG_COMMENT_SENDMAIL_MONEYANDITEM	寄给%s，金钱%u，附件%s
STR_PLAYERLOG_COMMENT_GETMAIL_MONEY	从%s邮件获得%d
STR_PLAYERLOG_COMMENT_PLAYERTRADE	与%s（账号：%s）交易，获得物品价值量%d千，失去物品价值量%d千，银两%d
STR_PLAYERLOG_COMMENT_STALLSELL	开始摆摊贩卖
STR_PLAYERLOG_COMMENT_STALLBUY	开始摆摊收购
STR_PLAYERLOG_COMMENT_GETACCOUNTMONEY	从帐号中取出%d银两
STR_PLAYERLOG_COMMENT_TRADEDECMONEY	与%s交易摆摊买入,失去银两%d, 物品[%s],单价[%d],数量[%d]
STR_PLAYERLOG_COMMENT_TRADEINCMONEY	与%s交易摆摊卖出,获得银两%d, 物品[%s],单价[%d],数量[%d]
STR_PLAYERLOG_COMMENT_GETFRIENDCOINBACK	从密友[%s]处获得 %d 个返还绑定金币
STR_PLAYERLOG_COMMENT_AUCTION_SELLITEM	拍卖物品从身上删除 PlayerName:%s, 起拍价：%d, 一口价：%d，ItemGUID:%s
STR_PLAYERLOG_COMMENT_COMPETEPRICE_SUCCESS	竞拍成功，扣钱 %d，物品名称 %s
STR_PLAYERLOG_COMMENT_RESTORECOINTOBANK	申请将[%d]金币存入银行, 申请是否成功:[%d]
STR_PLAYERLOG_COMMENT_TAKEOUTCOIN	申请从银行重取出[%d]金币,申请是否成功:[%d]
STR_PLAYERLOG_COMMENT_APPLYEXCHANGECOIN2BIND	申请将[%d]金币兑换成绑定金币，申请是否成功[%d]
STR_PLAYERLOG_COMMENT_ONRETINFO	钱庄金币操作[%s]，结果：[%s], 金币数：[%d]
STR_PLAYERLOG_COMMENT_ORDER_APPLY	提交订单:[%s]\t[%s]
STR_PLAYERLOG_COMMENT_ORDER_TIMEOUT	订单超时，销毁订单:[%s]
STR_PLAYERLOG_COMMENT_ORDER_COMPLETE	完成订单:[%s]
STR_PLAYERLOG_COMMENT_ORDER_PAYERROR	付费处理失败，销毁订单:[%s]，原因:[%s]
STR_PLAYERLOG_COMMENT_ORDER_PAYEOK	付费处理成功，申请发货:[%s]
STR_PLAYERLOG_COMMENT_ORDER_GM_ITEM	GM赠送物品 定单[%s]: %s [%d 个]
STR_ITEMLOG_COMMENT_IBSHOPBUY	奇珍阁购买%s，数量:%d，消耗%s%d
STR_ITEMLOG_COMMENT_MAILGIVE	给%s发送邮件附件
STR_ITEMLOG_COMMENT_MAILGAIN	从%s收到邮件附件
STR_ITEMLOG_COMMENT_STALLGIVE	[贩卖]卖给%s%d个
STR_ITEMLOG_COMMENT_STALLGAIN	[贩卖]从%s买入%d个
STR_ITEMLOG_COMMENT_OFFERGIVE	[收购]卖给%s%d个
STR_ITEMLOG_COMMENT_OFFERGAIN	[收购]买入%d个%s
STR_ITEMLOG_COMMENT_TRADEGAIN	交易从%s买入
STR_ITEMLOG_COMMENT_TRADEGIVE		交易卖给%s
STR_ITEMLOG_COMMENT_PICKUP_AUTODISTRIBUTE	组队自动分配
STR_CURRENCYTYPE_COIN	金币
STR_CURRENCYTYPE_BINDCOIN	绑定金币
STR_CURRENCYTYPE_TAEL	剑侠币
STR_CURRENCYTYPE_UNKNOWN	未知货币
STR_PLAYER_FORBIT_MULITCLINET	客户端多开
STR_PLAYER_FORBIT_VERIFY	非法客户端
